0,site,horizon,horizon_type,proportion_sand,proportion_silt,proportion_clay,total_ssa.m2g,,
167,SERC,Btg3,NA,NA,NA,NA,NA,,
168,ORNL,Oe,NA,NA,NA,NA,NA,,
169,ORNL,AE,NA,NA,NA,NA,NA,,
170,ORNL,E,NA,NA,NA,NA,NA,,
171,ORNL,EB,NA,NA,NA,NA,NA,,
172,ORNL,Bt3,NA,NA,NA,NA,NA,,
173,GRSM,AB,NA,NA,NA,NA,NA,,
174,GRSM,Bw1,NA,NA,NA,NA,NA,,
175,GRSM,Bw2,NA,NA,NA,NA,NA,,
176,GRSM,C,NA,NA,NA,NA,NA,,
177,MLBS,Oe,NA,NA,NA,NA,NA,,
178,MLBS,AB,NA,NA,NA,NA,NA,,
179,MLBS,Bw2,NA,NA,NA,NA,NA,,
180,MLBS,2C,NA,NA,NA,NA,NA,,
181,MLBS,2Cg1,NA,NA,NA,NA,NA,,
182,MLBS,2Cg2,NA,NA,NA,NA,NA,,
183,TALL,A2,NA,NA,NA,NA,NA,,
184,TALL,A/B,NA,NA,NA,NA,NA,,
185,TALL,Bt2,NA,NA,NA,NA,NA,,
186,TALL,Btg,NA,NA,NA,NA,NA,,
187,TALL,BC,NA,NA,NA,NA,NA,,
188,KONZ,Bt3,NA,NA,NA,NA,NA,,
189,UNDE,Bs2,NA,NA,NA,NA,NA,,
190,UNDE,Bt1,NA,NA,NA,NA,NA,,
191,UNDE,Bt2,NA,NA,NA,NA,NA,,
192,UNDE,A',NA,NA,NA,NA,NA,,
193,UNDE,BC,NA,NA,NA,NA,NA,,
194,UNDE,C,NA,NA,NA,NA,NA,,
195,ORNL,A,A-Horizon,0,57.03,42.97,7.55881221,,
196,ORNL,Bt1,Upper B-Horizon,1.25,51.97,46.78,8.97981809,,
197,ORNL,Bt2,Lower B-Horizon,12.77,37.57,49.66,13.2720034,,
198,NIWO,2Cr1,NA,NA,NA,NA,NA,,
199,NIWO,2Cr2,NA,NA,NA,NA,NA,,
200,NIWO,2C,NA,NA,NA,NA,NA,,
201,NIWO,AB,NA,NA,NA,NA,NA,,
202,OSBS,A,A-Horizon,93.14,4.64,2.22,0.0279245,,
203,JORN,B/A,NA,NA,NA,NA,NA,,
204,OSBS,Bw1,Upper B-Horizon,93.23,4.02,2.75,1.05006522,,
205,OSBS,Bw3,Lower B-Horizon,91.66,4.28,4.06,2.71975985,,
206,JORN,2Bk2,NA,NA,NA,NA,NA,,
207,JORN,2Bk3,NA,NA,NA,NA,NA,,
208,JORN,2Bkm,NA,NA,NA,NA,NA,,
209,CLBJ,A2,NA,NA,NA,NA,NA,,
210,CLBJ,EA,NA,NA,NA,NA,NA,,
211,CLBJ,E,NA,NA,NA,NA,NA,,
212,CLBJ,A',NA,NA,NA,NA,NA,,
213,CLBJ,E',NA,NA,NA,NA,NA,,
214,CLBJ,EB,NA,NA,NA,NA,NA,,
215,CLBJ,Bt2,NA,NA,NA,NA,NA,,
216,CLBJ,Bt3,NA,NA,NA,NA,NA,,
217,ONAQ,Bk3,NA,NA,NA,NA,NA,,
218,ONAQ,2CBk,NA,NA,NA,NA,NA,,
219,SERC,A,A-Horizon,0.11,54.43,45.46,10.6380453,,
220,SERC,Bt1,Upper B-Horizon,41.91,40.16,17.93,5.61359115,,
221,KONA,Bt2,NA,NA,NA,NA,NA,,
222,KONA,Bt3,NA,NA,NA,NA,NA,,
223,SERC,Btg3,Lower B-Horizon,48.09,37.01,14.9,4.32302048,,
224,KONA,2Btk,NA,NA,NA,NA,NA,,
225,SRER,Ak2,NA,NA,NA,NA,NA,,
226,SRER,Bk,NA,NA,NA,NA,NA,,
227,LENO,A1,NA,NA,NA,NA,NA,,
228,LENO,Btg1,NA,NA,NA,NA,NA,,
229,LENO,Btg2,NA,NA,NA,NA,NA,,
230,MOAB,Bk2,NA,NA,NA,NA,NA,,
231,SOAP,Oi,NA,NA,NA,NA,NA,,
232,SOAP,AB,NA,NA,NA,NA,NA,,
233,SOAP,Bt2,NA,NA,NA,NA,NA,,
234,SOAP,Bt4,NA,NA,NA,NA,NA,,
235,ABBY,Oe,NA,NA,NA,NA,NA,,
236,ABBY,AB,NA,NA,NA,NA,NA,,
237,ABBY,Bt2,NA,NA,NA,NA,NA,,
238,ABBY,Bt3,NA,NA,NA,NA,NA,,
239,TALL,A1,A-Horizon,53.32,35.34,11.34,4.46509601,,
240,ABBY,Cr,NA,NA,NA,NA,NA,,
241,SJER,Oi,NA,NA,NA,NA,NA,,
242,TALL,Bt1,Upper B-Horizon,70.15,20.51,9.34,4.83839242,,
243,SJER,AB,NA,NA,NA,NA,NA,,
244,TALL,Bt3,Lower B-Horizon,49.91,35.87,14.22,5.22215932,,
245,SJER,Bw2,NA,NA,NA,NA,NA,,
246,SJER,Cr,NA,NA,NA,NA,NA,,
247,OAES,A,NA,NA,NA,NA,NA,,
248,WREF,Oe,NA,NA,NA,NA,NA,,
249,WREF,A2,NA,NA,NA,NA,NA,,
250,WREF,BA,NA,NA,NA,NA,NA,,
251,STEI,A2,NA,NA,NA,NA,NA,,
252,STEI,E,NA,NA,NA,NA,NA,,
253,STEI,E/B,NA,NA,NA,NA,NA,,
254,STEI,Bs2,NA,NA,NA,NA,NA,,
255,STEI,BC1,NA,NA,NA,NA,NA,,
256,TREE,A2,NA,NA,NA,NA,NA,,
257,TREE,Bs1,NA,NA,NA,NA,NA,,
258,TREE,Bs3,NA,NA,NA,NA,NA,,
259,TREE,Bs4,NA,NA,NA,NA,NA,,
260,TREE,Bs5,NA,NA,NA,NA,NA,,
261,TREE,BC2,NA,NA,NA,NA,NA,,
262,TREE,BC3,NA,NA,NA,NA,NA,,
263,DELA,A,A-Horizon,3.49,64.77,31.74,8.02951032,,
264,DELA,A/B,NA,NA,NA,NA,NA,,
265,DELA,Btg1,Upper B-Horizon,10.52,63.3,26.18,6.49096628,,
266,DELA,Btg2,NA,NA,NA,NA,NA,,
267,DELA,Btg3,Lower B-Horizon,5.84,64.34,29.82,7.19767485,,
268,DEJU,Oe,NA,NA,NA,NA,NA,,
269,DEJU,A,A-Horizon,33.54,59.54,6.92,2.94963063,,
